Time,WS,v_europeo_ifs,v_gfs,v_meteoblue,WD,d_europeo_ifs,d_gfs,d_meteoblue
2025-01-01 00:00:00,2.075,1.97,1.9,2.3086793,157.4,171,180,175.03026
2025-01-01 01:00:00,1.022,1.5,1.9,2.1213202,127.7,150,177,171.8699
2025-01-01 02:00:00,0.482,1.37,1.84,1.8248286,58.76,156,167,170.53767
2025-01-01 03:00:00,0.555,1.08,1.63,1.3000001,51.59,146,169,157.38013
2025-01-01 04:00:00,0.094,0.87,0.82,0.84852815,86.6,114,194,135.0
2025-01-01 05:00:00,0.261,1.02,0.41,0.4,47.02,79,166,89.99999
2025-01-01 06:00:00,0.486,1.15,0.32,0.6708204,111.1,56,72,26.565033
2025-01-01 07:00:00,0.823,0.74,0.7,1.3152945,7.721,62,360,8.74614
2025-01-01 08:00:00,2.203,1.09,0.91,1.3416408,320.6,74,354,333.43497
2025-01-01 09:00:00,3.65,1.06,1.6,2.4166093,329.0,45,356,294.44397
2025-01-01 10:00:00,4.118,1.46,2.47,3.4481878,330.1,22,346,286.8584
2025-01-01 11:00:00,3.087,2.06,3.69,4.016217,308.4,346,319,288.88608
2025-01-01 12:00:00,2.953,2.82,4.6,4.110961,302.0,333,312,288.43494
2025-01-01 13:00:00,2.766,3.16,5.12,4.148494,300.5,325,309,285.37625
2025-01-01 14:00:00,2.841,3.23,5.81,4.1303754,305.9,319,312,276.95297
2025-01-01 15:00:00,2.905,3.34,5.33,4.00125,307.3,310,310,268.5679
2025-01-01 16:00:00,2.664,3.13,5.36,4.0792155,303.4,304,307,258.69006
2025-01-01 17:00:00,2.955,2.69,4.56,4.0718546,320.1,292,308,245.32315
2025-01-01 18:00:00,2.488,2.53,4.06,3.6400552,321.6,279,308,232.8153
2025-01-01 19:00:00,2.261,2.21,2.83,2.9832866,325.6,264,302,219.55966
2025-01-01 20:00:00,1.78,1.86,2.12,2.2825425,299.1,234,289,208.81079
2025-01-01 21:00:00,1.007,1.74,2.1,1.9026297,0.213,192,295,183.01279
2025-01-01 22:00:00,0.263,1.43,0.45,1.9416487,82.8,205,243,168.11134
2025-01-01 23:00:00,0.625,1.55,0.67,1.8439089,111.8,165,153,167.47119
2025-01-02 00:00:00,0.994,1.34,1.12,1.811077,110.9,135,153,173.6598
2025-01-02 01:00:00,0.326,0.96,1.3,1.6124516,104.1,137,148,172.87498
2025-01-02 02:00:00,1.034,0.82,0.92,1.5524175,128.8,142,193,165.06857
2025-01-02 03:00:00,1.15,0.89,1.32,1.2083046,113.0,164,189,155.55605
2025-01-02 04:00:00,0.528,0.96,1.52,0.64031243,115.4,171,157,128.6598
2025-01-02 05:00:00,0.554,1.09,0.91,0.5,108.7,164,174,53.130096
2025-01-02 06:00:00,0.524,1.06,0.82,1.0049876,8.94,135,166,5.7105865
2025-01-02 07:00:00,0.521,1.15,0.64,1.7117243,16.96,108,141,353.29016
2025-01-02 08:00:00,0.915,1.49,0.63,1.56205,301.8,50,18,320.19443
2025-01-02 09:00:00,2.069,1.62,1.39,3.1064448,264.1,9,339,303.17853
2025-01-02 10:00:00,0.0,1.93,2.75,4.0706263,0.0,350,327,297.8241
2025-01-02 11:00:00,0.013,2.5,3.82,4.3416586,336.8,334,317,298.92645
2025-01-02 12:00:00,3.034,2.77,4.74,4.304649,317.4,332,314,300.73547
2025-01-02 13:00:00,2.811,2.89,5.17,3.847077,302.7,323,313,297.89728
2025-01-02 14:00:00,2.943,3.11,5.74,3.51141,311.9,315,311,289.98312
2025-01-02 15:00:00,2.707,3.08,5.75,3.4234486,322.0,306,310,276.70984
2025-01-02 16:00:00,2.713,3.15,5.44,3.522783,308.9,295,306,263.4802
2025-01-02 17:00:00,2.296,3.2,4.44,3.4785054,328.6,284,306,251.56506
2025-01-02 18:00:00,2.013,2.86,3.55,3.324154,313.7,274,302,248.83875
2025-01-02 19:00:00,1.384,2.46,2.69,2.6925824,328.4,275,292,248.1986
2025-01-02 20:00:00,1.721,1.75,1.9,1.8384776,326.1,283,267,247.61987
