Mes,Modelo,Correlacion,MAE_circular,RMSE_circular,BIAS_circular
Enero,Europeo,0.37,67.02,84.79,-2.24
Enero,GFS,0.45,61.59,81.19,-2.41
Enero,Meteoblue,0.44,67.16,84.11,-21.68
Febrero,Europeo,0.5,60.64,79.54,7.25
Febrero,GFS,0.54,60.35,79.24,-1.03
Febrero,Meteoblue,0.5,68.39,85.04,-18.85
Marzo,Europeo,0.3,62.85,81.52,2.39
Marzo,GFS,0.42,60.27,79.63,-6.41
Marzo,Meteoblue,0.44,64.58,81.65,-15.01
Abril,Europeo,0.26,70.22,88.65,-2.46
Abril,GFS,0.29,67.29,85.17,-10.41
Abril,Meteoblue,0.4,67.23,84.07,-27.82
Mayo,Europeo,0.22,67.46,87.04,-0.45
Mayo,GFS,0.28,72.46,90.71,-12
Mayo,Meteoblue,0.34,69.13,87.08,-22.46
Junio,Europeo,0.23,55.36,75.23,5.49
Junio,GFS,0.23,58.17,78.16,-11.94
Junio,Meteoblue,0.36,56.69,77.32,-21.1
Julio,Europeo,0.16,59.01,78.64,10.44
Julio,GFS,0.22,61.46,81.42,-2.99
Julio,Meteoblue,0.27,62.14,81.48,-22.55
Agosto,Europeo,0.23,59.96,80.77,4.72
Agosto,GFS,0.29,53.29,74.2,-8.49
Agosto,Meteoblue,0.3,57.34,78.22,-14.6
Septiembre,Europeo,0.3,59.71,79.36,7.35
Septiembre,GFS,0.4,55.05,74.89,-6.25
Septiembre,Meteoblue,0.48,57.85,77.32,-21.74
Octubre,Europeo,0.32,71.38,91.27,-5.23
Octubre,GFS,0.37,65.97,85.26,-15.29
Octubre,Meteoblue,0.36,66.21,84.6,-19.24
Noviembre,Europeo,0.41,56.22,73.41,-8.21
Noviembre,GFS,0.5,48.17,68.12,-11.62
Noviembre,Meteoblue,0.35,59.83,76.77,-24.02
Diciembre,Europeo,0.36,61.26,79.29,-15.19
Diciembre,GFS,0.34,55.68,74.18,-15.3
Diciembre,Meteoblue,0.33,61.66,76.94,-30.08
